"","i","","j"
"1","d11h1","4","21"
"2","d11h2","3","20"
"3","d11h3","2","20"
"4","d11h4","1","19"
"5","d11h5","0","18"
"6","d11h6","4","17"
"7","d11h7","3","16"
"8","d11h8","2","15"
"9","d11h9","1","14"
"10","d11h10","0","12"
"11","d11h11","4","12"
"12","d11h12","3","11"
"13","d11h13","2","10"
"14","d11h14","1","10"
"15","d11h15","0","7"
"16","d11h16","4","7"
"17","d11h17","3","6"
"18","d11h18","2","5"
"19","d11h19","1","4"
"20","d11h20","0","3"
"21","d11h21","4","2"
"22","d11h22","3","1"
"23","d11h23","2","0"
"24","d12h1","1","20"
"25","d12h2","0","19"
"26","d12h3","4","18"
"27","d12h4","3","17"
"28","d12h5","2","16"
"29","d12h6","1","15"
"30","d12h7","0","14"
"31","d12h8","4","13"
"32","d12h9","3","12"
"33","d12h10","2","11"
"34","d12h11","1","10"
"35","d12h12","0","10"
"36","d12h13","4","7"
"37","d12h14","3","7"
"38","d12h15","2","6"
"39","d12h16","1","5"
"40","d12h17","0","4"
"41","d12h18","4","3"
"42","d12h19","3","2"
"43","d12h20","2","1"
"44","d12h21","1","0"
"45","d13h1","0","21"
"46","d13h2","4","20"
"47","d13h3","3","20"
"48","d13h4","2","20"
"49","d13h5","1","20"
"50","d13h6","0","20"
"51","d13h7","4","20"
"52","d13h8","3","20"
"53","d13h9","2","20"
"54","d13h10","1","20"
"55","d13h11","0","20"
"56","d13h12","4","20"
"57","d13h13","3","20"
"58","d13h14","2","21"
"59","d13h15","1","21"
"60","d13h16","0","20"
"61","d13h17","4","20"
"62","d13h18","3","20"
"63","d13h19","2","20"
"64","d13h20","1","20"
"65","d13h21","0","20"
"66","d13h22","4","20"
"67","d13h23","3","20"
"68","d13h24","2","20"
"69","d13h25","1","20"
"70","d13h26","0","19"
"71","d13h27","4","18"
"72","d13h28","3","16"
"73","d13h29","2","16"
"74","d13h30","1","15"
"75","d13h31","0","14"
"76","d13h32","4","12"
"77","d13h33","3","12"
"78","d13h34","2","11"
"79","d13h35","1","9"
"80","d13h36","0","9"
"81","d13h37","4","8"
"82","d13h38","3","7"
"83","d13h39","2","6"
"84","d13h40","1","5"
"85","d13h41","0","4"
"86","d13h42","4","3"
"87","d13h43","3","2"
"88","d13h44","2","1"
"89","d13h45","1","0"
"90","d14h1","0","21"
"91","d14h2","4","20"
"92","d14h3","3","20"
"93","d14h4","2","20"
"94","d14h5","1","19"
"95","d14h6","0","20"
"96","d14h7","4","20"
"97","d14h8","3","20"
"98","d14h9","2","20"
"99","d14h10","1","20"
"100","d14h11","0","20"
"101","d14h12","4","20"
"102","d14h13","3","19"
"103","d14h14","2","20"
"104","d14h15","1","20"
"105","d14h16","0","20"
"106","d14h17","4","20"
"107","d14h18","3","20"
"108","d14h19","2","20"
"109","d14h20","1","20"
"110","d14h21","0","19"
"111","d14h22","4","19"
"112","d14h23","3","21"
"113","d14h24","2","20"
"114","d14h25","1","19"
"115","d14h26","0","18"
"116","d14h27","4","17"
"117","d14h28","3","15"
"118","d14h29","2","14"
"119","d14h30","1","14"
"120","d14h31","0","13"
"121","d14h32","4","12"
"122","d14h33","3","11"
"123","d14h34","2","10"
"124","d14h35","1","9"
"125","d14h36","0","8"
"126","d14h37","4","7"
"127","d14h38","3","6"
"128","d14h39","2","5"
"129","d14h40","1","4"
"130","d14h41","0","3"
"131","d14h42","4","2"
"132","d14h43","3","1"
"133","d14h44","2","0"
